"language.keyword: Descending",Count
Handlebars,"1,977"
"Game Maker Language","1,939"
"Objective-J","1,923"
XQuery,"1,859"
Awk,"1,809"
M4,"1,762"
"Perl 6","1,690"
ANTLR,"1,677"
Cucumber,"1,566"
PureBasic,"1,561"
Gosu,"1,539"
Rebol,"1,527"
RAML,"1,522"
"AGS Script","1,472"
QMake,"1,459"
Scilab,"1,457"
PAWN,"1,434"
"Inno Setup","1,400"
"1C Enterprise","1,374"
Xtend,"1,358"
nesC,"1,325"
Gherkin,"1,287"
Lasso,"1,276"
Agda,"1,272"
Forth,"1,268"
GAP,"1,239"
ABAP,"1,199"
Lex,"1,197"
NetLogo,"1,190"
HaXe,"1,178"
xBase,"1,150"
Idris,"1,147"
CartoCSS,"1,137"
AMPL,"1,103"
LookML,"1,099"
Squirrel,"1,084"
MoonScript,"1,044"
HLSL,"1,040"
Diff,"1,003"
RobotFramework,992
Modelica,952
Eiffel,930
Gnuplot,929
"Gettext Catalog",928
Bro,924
Solidity,914
DOT,851
Brightscript,849
LilyPond,834
Io,817
COBOL,806
"Ren'Py",784
Brainfuck,778
PigLatin,769
SQL,744
LLVM,738
"POV-Ray SDL",721
MQL4,694
UnrealScript,681
AspectJ,670
BlitzBasic,647
Thrift,613
VCL,592
Mercury,582
XC,563
MQL5,559
ooc,543
Nemerle,516
Arc,509
Bison,497
Red,486
CLIPS,485
Slash,485
Ceylon,482
MAXScript,474
LSL,465
Terra,459
Ballerina,450
"Propeller Spin",386
Papyrus,379
Mako,365
Isabelle,347
Xojo,341
"Inform 7",331
DTrace,322
EmberScript,321
Augeas,308
Cirru,306
Lean,302
Dylan,298
Frege,296
Nextflow,290
SMT,288
NewLisp,283
Pony,280
Boo,279
Alloy,277
Factor,272
Monkey,269
Limbo,265
BlitzMax,261
Hy,257
NCL,253
Uno,250
AngelScript,248
ChucK,243
P4,242
Parrot,242
REALbasic,239
"Component Pascal",230
Stan,229
GAMS,222
TLA,222
XS,219
J,207
"Common Workflow Language",206
Bluespec,205
Turing,200
FLUX,191
RPC,187
KRL,186
"DCPU-16 ASM",178
Chapel,176
APL,175
"Ragel in Ruby Host",173
Nu,169
Clean,168
Mask,168
Self,166
Opa,164
Oxygene,163
RenderScript,160
"IGOR Pro",159
Oz,154
ATS,148
E,143
Volt,136
wdl,130
Zephir,128
Mirah,126
Ecl,124
"Modula-2",124
XProc,124
Pike,122
PowerBuilder,118
NetLinx,115
PogoScript,114
"Grammatical Framework",111
"Csound Document",109
Cycript,109
"SRecode Template",104
Metal,103
LOLCODE,102
sed,102
Glyph,99
eC,98
Fantom,97
q,97
Pan,94
Ring,92
wisp,87
"Cap'n Proto",84
GDB,84
Jasmin,84
MTML,84
JSONiq,80
CWeb,77
Shen,77
Genshi,74
ECL,68
HyPhy,65
PicoLisp,60
UrWeb,58
Fancy,56
Cool,55
Clarion,51
LoomScript,49
Ragel,49
Meson,43
Harbour,42
Kit,40
Logtalk,39
Ox,37
Golo,36
Rouge,33
Grace,32
Nit,31
REXX,31
Ioke,30
Jolie,30
X10,28
WebIDL,27
mupad,26
Pep8,25
Dogescript,23
TXL,23
Zimpl,23
Click,22
DataWeave,18
RMarkdown,17
"Filebench WML",16
XPages,16
EQ,13
Redcode,13
"TI Program",13
Charity,12
Csound,11
"Modula-3",11
Nearley,11
"Csound Score",8
LFE,7
Omgrofl,7
"KiCad Layout",5
Markdown,5
Genie,4
JFlex,4
Moocode,3
Opal,3
Tea,3
HiveQL,2
"Max/MSP",2
"Module Management System",2
ShellSession,2
Befunge,1
"DCPU-16 Assembly",1
RUNOFF,1
reStructuredText,1
